Cycle,Current_mA,Voltage_V,Power_mW,Command
85299,40.000,1.200,48.000,IDLE
85499,40.000,1.200,48.000,IDLE
85699,40.000,1.200,48.000,IDLE
85899,40.000,1.200,48.000,IDLE
86099,40.000,1.200,48.000,IDLE
86299,40.000,1.200,48.000,IDLE
86499,40.000,1.200,48.000,IDLE
86699,40.000,1.200,48.000,IDLE
86899,40.000,1.200,48.000,IDLE
87099,40.000,1.200,48.000,IDLE
87299,40.000,1.200,48.000,IDLE
87499,40.000,1.200,48.000,IDLE
87699,40.000,1.200,48.000,IDLE
87899,40.000,1.200,48.000,IDLE
88099,40.000,1.200,48.000,IDLE
88299,40.000,1.200,48.000,IDLE
88499,40.000,1.200,48.000,IDLE
88699,40.000,1.200,48.000,IDLE
88899,40.000,1.200,48.000,IDLE
89099,40.000,1.200,48.000,IDLE
89299,40.000,1.200,48.000,IDLE
89499,40.000,1.200,48.000,IDLE
89699,40.000,1.200,48.000,IDLE
89856,240.000,1.200,288.000,REFRESH_ALL
90050,40.000,1.200,48.000,PRECHARGE
90250,40.000,1.200,48.000,PRECHARGE
90450,40.000,1.200,48.000,PRECHARGE
90650,40.000,1.200,48.000,PRECHARGE
90850,40.000,1.200,48.000,PRECHARGE
91050,40.000,1.200,48.000,PRECHARGE
91250,40.000,1.200,48.000,PRECHARGE
91450,40.000,1.200,48.000,PRECHARGE
91650,40.000,1.200,48.000,PRECHARGE
91850,40.000,1.200,48.000,PRECHARGE
92050,40.000,1.200,48.000,PRECHARGE
92250,40.000,1.200,48.000,PRECHARGE
92450,40.000,1.200,48.000,PRECHARGE
92650,40.000,1.200,48.000,PRECHARGE
92850,40.000,1.200,48.000,PRECHARGE
93050,40.000,1.200,48.000,PRECHARGE
93250,40.000,1.200,48.000,PRECHARGE
93450,40.000,1.200,48.000,PRECHARGE
93650,40.000,1.200,48.000,PRECHARGE
93850,40.000,1.200,48.000,PRECHARGE
94050,40.000,1.200,48.000,PRECHARGE
94250,40.000,1.200,48.000,PRECHARGE
94450,40.000,1.200,48.000,PRECHARGE
94650,40.000,1.200,48.000,PRECHARGE
