BinStart,BinEnd,AvgCurrent_mA
206900,207000,240.0
207300,207400,240.0
207800,207900,117.5
208300,208400,240.0
208700,208800,76.66666666666667
208800,208900,240.0
209200,209300,240.0
209700,209800,240.0
210100,210200,45.0
210200,210300,145.0
210300,210400,150.0
210400,210500,130.0
210800,210900,112.5
210900,211000,121.0
211000,211100,180.0
211100,211200,130.0
211500,211600,240.0
212000,212100,240.0
212400,212500,45.0
212500,212600,130.0
212900,213000,45.0
213000,213100,130.0
213500,213600,240.0
213900,214000,240.0
214400,214500,150.0
214500,214600,168.0
214600,214700,155.0
215100,215200,155.0
215200,215300,140.0
215300,215400,240.0
215700,215800,240.0
216200,216300,147.0
216300,216400,126.66666666666667
216400,216500,45.0
216500,216600,81.66666666666667
216600,216700,180.0
216700,216800,130.0
217200,217300,112.5
217300,217400,130.0
217800,217900,240.0
218200,218300,240.0
218700,218800,147.0
218800,218900,151.25
219200,219300,45.0
219300,219400,176.25
219400,219500,175.0
219500,219600,100.0
219600,219700,240.0
220000,220100,240.0
220400,220500,240.0
220900,221000,240.0
221300,221400,240.0
221700,221800,240.0
222200,222300,105.0
222300,222400,106.25
222400,222500,165.0
222500,222600,130.0
222900,223000,240.0
223400,223500,240.0
223800,223900,240.0
224200,224300,45.0
224300,224400,170.0
224400,224500,126.66666666666667
224500,224600,135.0
224600,224700,76.66666666666667
224800,224900,130.0
225200,225300,240.0
225600,225700,45.0
225700,225800,100.0
225800,225900,147.0
225900,226000,130.0
226400,226500,146.25
226500,226600,174.0
226600,226700,136.25
226700,226800,240.0
227100,227200,240.0
227500,227600,240.0
227900,228000,240.0
228400,228500,240.0
228900,229000,112.5
229000,229100,128.75
229100,229200,240.0
229500,229600,45.0
229600,229700,172.5
229700,229800,102.5
229800,229900,170.0
229900,230000,180.0
230000,230100,176.25
230100,230200,168.75
230200,230300,130.0
230600,230700,240.0
231000,231100,240.0
231500,231600,146.25
231600,231700,165.0
231700,231800,76.66666666666667
231800,231900,98.75
231900,232000,176.25
232000,232100,146.66666666666666
232500,232600,240.0
232900,233000,45.0
233000,233100,128.75
233100,233200,142.5
233200,233300,100.0
233300,233400,240.0
233800,233900,121.0
233900,234000,240.0
234300,234400,45.0
234400,234500,157.0
234900,235000,81.66666666666667
235000,235100,130.0
235100,235200,165.0
235200,235300,165.0
235300,235400,128.75
235400,235500,112.5
235500,235600,147.5
236100,236200,240.0
236500,236600,240.0
237000,237100,240.0
237400,237500,45.0
237500,237600,180.0
237600,237700,165.0
237700,237800,172.5
237800,237900,171.0
237900,238000,141.66666666666666
238400,238500,240.0
238800,238900,45.0
238900,239000,130.0
239300,239400,45.0
239400,239500,121.66666666666667
239500,239600,240.0
239900,240000,240.0
240400,240500,32.5
240500,240600,240.0
240900,241000,45.0
241000,241100,140.0
241100,241200,105.0
241200,241300,62.5
241300,241400,240.0
241800,241900,240.0
242200,242300,240.0
242600,242700,240.0
243000,243100,45.0
243100,243200,126.66666666666667
243200,243300,240.0
243600,243700,240.0
244100,244200,81.66666666666667
244200,244300,240.0
244600,244700,240.0
245000,245100,240.0
245500,245600,101.66666666666667
246000,246100,240.0
246400,246500,240.0
246900,247000,130.0
247000,247100,28.333333333333332
247100,247200,112.0
247200,247300,240.0
247600,247700,105.0
247700,247800,102.5
247800,247900,121.66666666666667
247900,248000,138.75
248000,248100,142.0
248100,248200,240.0
248500,248600,76.66666666666667
248600,248700,240.0
249000,249100,125.0
249100,249200,175.0
249200,249300,126.66666666666667
249300,249400,240.0
249700,249800,240.0
250200,250300,146.25
250300,250400,130.0
250800,250900,240.0
251200,251300,32.5
251300,251400,81.66666666666667
251400,251500,135.0
251500,251600,76.66666666666667
251600,251700,130.0
252000,252100,112.5
252100,252200,146.66666666666666
252600,252700,112.5
252700,252800,167.5
252800,252900,176.25
252900,253000,98.75
253000,253100,102.5
253100,253200,106.25
253200,253300,102.5
253300,253400,130.0
253700,253800,45.0
253800,253900,160.0
254300,254400,135.0
254400,254500,174.0
254500,254600,147.5
255000,255100,240.0
255400,255500,105.0
255500,255600,130.0
255900,256000,240.0
256400,256500,240.0
256900,257000,240.0
257300,257400,32.5
257400,257500,130.0
257500,257600,177.5
257600,257700,130.0
258000,258100,45.0
258100,258200,151.25
258600,258700,240.0
259100,259200,240.0
259500,259600,240.0
259900,260000,45.0
260000,260100,126.66666666666667
260100,260200,36.666666666666664
260200,260300,146.66666666666666
260600,260700,112.5
260700,260800,98.75
260800,260900,66.25
260900,261000,72.5
261000,261100,165.0
261100,261200,168.75
261200,261300,112.0
261300,261400,32.5
261400,261500,172.5
261500,261600,100.0
261600,261700,240.0
262000,262100,240.0
262400,262500,240.0
262900,263000,240.0
263300,263400,240.0
263800,263900,240.0
264200,264300,76.66666666666667
264300,264400,240.0
264700,264800,240.0
265200,265300,105.0
265300,265400,147.5
265800,265900,45.0
265900,266000,100.0
266000,266100,240.0
266400,266500,240.0
266900,267000,240.0
267300,267400,112.5
267400,267500,130.0
267900,268000,240.0
268300,268400,240.0
268700,268800,240.0
269200,269300,112.5
