Start,End,State,Label
6968476,6968508,WRITING,
6968508,6968526,PRECHARGING,
6968526,6968549,ACTIVE,Row 0
6968549,6968563,WRITING,
6968563,6968615,READING,
6968615,6968651,WRITING,
6968651,6968877,READING,
6968877,6968924,WRITING,
6968924,6968968,PRECHARGING,
6968968,6969390,REFRESHING,
6969390,6969429,ACTIVE,Row 0
6969429,6969459,READING,
6969459,6969495,PRECHARGING,
6969495,6969521,ACTIVE,Row 0
6969521,6969558,WRITING,
6969558,6969579,READING,
6969579,6969592,WRITING,
6969592,6969634,READING,
6969634,6969661,WRITING,
6969661,6969709,READING,
6969709,6969749,WRITING,
6969749,6969781,READING,
6969781,6969803,WRITING,
6969803,6969851,PRECHARGING,
6969851,6969871,ACTIVE,Row 0
6969871,6969908,READING,
6969908,6969954,PRECHARGING,
6969954,6970379,REFRESHING,
6970379,6970421,ACTIVE,Row 0
6970421,6970446,READING,
6970446,6970463,PRECHARGING,
6970463,6970486,ACTIVE,Row 0
6970486,6970506,WRITING,
6970506,6970530,PRECHARGING,
6970530,6970579,ACTIVE,Row 0
6970579,6970601,PRECHARGING,
6970601,6970671,ACTIVE,Row 0
6970671,6970689,READING,
6970689,6970717,WRITING,
6970717,6970746,READING,
6970746,6970870,WRITING,
6970870,6970889,READING,
6970889,6970942,PRECHARGING,
6970942,6970971,ACTIVE,Row 0
6970971,6970996,READING,
6970996,6971013,WRITING,
6971013,6971040,READING,
6971040,6971071,PRECHARGING,
6971071,6971492,REFRESHING,
6971492,6971512,ACTIVE,Row 0
6971512,6971565,READING,
6971565,6971589,WRITING,
6971589,6971682,READING,
6971682,6971699,PRECHARGING,
6971699,6971730,ACTIVE,Row 0
6971730,6971767,WRITING,
6971767,6971785,READING,
6971785,6971810,PRECHARGING,
6971810,6971847,ACTIVE,Row 0
6971847,6971887,WRITING,
6971887,6971904,PRECHARGING,
6971904,6971922,ACTIVE,Row 0
6971922,6971953,READING,
6971953,6971973,WRITING,
6971973,6972039,PRECHARGING,
6972039,6972062,ACTIVE,Row 0
6972062,6972107,WRITING,
6972107,6972305,READING,
6972305,6972406,WRITING,
6972406,6972485,PRECHARGING,
6972485,6972923,REFRESHING,
6972923,6972949,ACTIVE,Row 0
6972949,6972961,WRITING,
6972961,6973059,READING,
6973059,6973078,PRECHARGING,
6973078,6973128,ACTIVE,Row 0
6973128,6973254,READING,
6973254,6973298,WRITING,
6973298,6973329,PRECHARGING,
6973329,6973346,ACTIVE,Row 0
6973346,6973380,READING,
6973380,6973430,WRITING,
6973430,6973541,READING,
6973541,6973578,PRECHARGING,
6973578,6974464,REFRESHING,
6974464,6974488,ACTIVE,Row 0
6974488,6974621,READING,
6974621,6974648,PRECHARGING,
6974648,6974700,ACTIVE,Row 0
6974700,6974718,PRECHARGING,
6974718,6975572,REFRESHING,
6975572,6975599,ACTIVE,Row 0
6975599,6975728,READING,
6975728,6975772,WRITING,
6975772,6975801,PRECHARGING,
6975801,6976287,REFRESHING,
6976287,6976308,ACTIVE,Row 0
6976308,6976319,WRITING,
6976319,6976338,READING,
6976338,6976389,WRITING,
6976389,6976411,PRECHARGING,
6976411,6976915,REFRESHING,
6976915,6976988,ACTIVE,Row 0
6976988,6977054,WRITING,
6977054,6977083,READING,
6977083,6977123,WRITING,
6977123,6977152,READING,
6977152,6977179,PRECHARGING,
6977179,6977611,REFRESHING,
6977611,6977631,ACTIVE,Row 0
6977631,6977664,WRITING,
6977664,6977800,READING,
6977800,6977852,WRITING,
6977852,6977946,READING,
6977946,6977965,WRITING,
6977965,6977989,READING,
6977989,6978049,WRITING,
6978049,6978123,PRECHARGING,
